模板名称,模板类型(中),模板类型(英),模板类型Key,模板ID,是否自定义,单元Key,单元中文名,单元英文名,采集间隔(s),数据类型,采集范围,字段Key,字段中文名,字段英文名,字段单位,值类型,支持告警阈值,说明(中文)
"MemCached","MemCached","MemCached","memch","209760028721299","否","MemChVars","性能信息","Performance Infomation","300","row","1","SetTime","SET-时间","SET-Time","ms","数值","是","向MemCached设置数据使用的时间。"
"MemCached","MemCached","MemCached","memch","209760028721299","否","MemChVars","性能信息","Performance Infomation","300","row","1","SystemCPU","系统CPU","System CPU","s","数值","是","进程中系统时间的总数。"
"MemCached","MemCached","MemCached","memch","209760028721299","否","MemChVars","性能信息","Performance Infomation","300","row","1","Threads","线程数","Threads","","数值","是","MemCached当前的线程数。"
"MemCached","MemCached","MemCached","memch","209760028721299","否","MemChVars","性能信息","Performance Infomation","300","row","1","TotalMemory","总内存","Total Memory","B","数值","是","MemCached内存的总量。"
"MemCached","MemCached","MemCached","memch","209760028721299","否","MemChVars","性能信息","Performance Infomation","300","row","1","TotalTime","总的事务时间","Total Transaction Time","ms","数值","是","MemCached上所有操作使用的总的时间。"
"MemCached","MemCached","MemCached","memch","209760028721299","否","MemChVars","性能信息","Performance Infomation","300","row","1","UsedMemory","已用内存","Used Memory","B","数值","是","MemCached当前存储占用的大小（因为实际存储的数据比chunk占用的小，所以该指标可能比实际使用的内存小）。"
"MemCached","MemCached","MemCached","memch","209760028721299","否","MemChVars","性能信息","Performance Infomation","300","row","1","UsedMemoryRate","内存利用率","Memory Used Ratio","%","数值","是","MemCached内存的利用率（因为已用内存是按实际存储的数据大小计算而非chunk的占用大小，所以该指标可能比实际利用率小）。"
"MemCached","MemCached","MemCached","memch","209760028721299","否","MemChVars","性能信息","Performance Infomation","300","row","1","UserCPU","用户CPU","User CPU","s","数值","是","进程中用户时间的总数。"
"MemCached","MemCached","MemCached","memch","209760028721299","否","Version","MemCached版本","MemCached Version","300","row","3","Version","MemCached版本","MemCached Version","","字符串","是","当前MemCached应用的版本信息。"
"MemCached","MemCached","MemCached","memch","209760028721299","否","AvailableData","可用性","Availability","60","","3","AvailabilityData","协议连接","Protocol Connection","","字符串","是","测试IP对应资源的协议连接。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","buildInfo","构建信息","Build Information","300","row","3","buildBits","构建位数","Build Bits","","字符串","是","数据库服务程序的构建位数。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","buildInfo","构建信息","Build Information","300","row","3","buildVer","构建版本","Build Version","","字符串","是","数据库服务程序的版本。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","buildInfo","构建信息","Build Information","300","row","3","debug","Debug模式","Debug Mode","","字符串","是","Debug模式。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","buildInfo","构建信息","Build Information","300","row","3","gitVer","Git版本","Git Version","","字符串","是","数据库服务程序的Git版本。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","buildInfo","构建信息","Build Information","300","row","3","jsEngine","JavaScript引擎","JavaScript Engine","","字符串","是","数据库服务程序使用的JavaScript引擎。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","buildInfo","构建信息","Build Information","300","row","3","maxObjSize","对象最大大小","Max Object Size","B","数值","是","BSON文档对象的最大大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","buildInfo","构建信息","Build Information","300","row","3","OpenSSLVer","OpenSSL版本","OpenSSL Version","","字符串","是","数据库服务程序构建使用的OpenSSL版本。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","buildInfo","构建信息","Build Information","300","row","3","targetMinOS","目标操作系统","Target OS","","字符串","是","数据库服务程序运行最低目标操作系统，仅在windows环境下有效。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","connection","连接数","Connections","300","row","1","available","可用连接数","Available","","数值","是","数据库可用连接数。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","connection","连接数","Connections","300","row","1","availableRatio","可用连接比例","AvailableConnectRatio","%","数值","是","数据库可用连接数比例。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","connection","连接数","Connections","300","row","1","currents","当前连接数","Current","","数值","是","当前连接到数据库的连接数量。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","connection","连接数","Connections","300","row","1","totalCreated","已创建连接数","Total Created","","数值","是","已创建的连接数，包括已经关闭的连接。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","avgObjSize","对象平均大小","Average Object Size","B","数值","是","数据库中每个对象的平均大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","collections","集合数","Collections","","数值","是","数据库中的集合总数。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","dataSize","数据大小","Data Size","B","数值","是","数据库数据大小，包括填充数据。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","fileSize","文件大小","File Size","B","数值","是","数据库数据文件大小，包括预分配空间和填充数据（仅在使用MMAPV1存储引擎时有效）。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","indexes","索引数","Indexes","","数值","是","数据库中的索引总数。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","indexSize","索引大小","Index Size","B","数值","是","数据库中的索引大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","nsSizeMB","命名空间大小","Namespace Size","MB","数值","是","数据库命名空间文件大小（仅在使用MMAPV1存储引擎时有效）。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","numExtents","扩展数","Extents","","数值","是","扩展数。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","objects","对象数","Objects","","数值","是","数据库中的文档对象总数。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","storageSize","存储大小","Storage Size","B","数值","是","数据库为存储文档对象分配的空间。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","dbStats","数据库明细","Database Details","300","table","3","targetDB","数据库","Database","","字符串","是","数据库名称。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","memory","内存","Memory","300","row","1","mapped","映射内存","Mapped","MB","数值","是","数据库映射的内存大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","memory","内存","Memory","300","row","1","memBits","内存位数","Bits","","字符串","是","内存位数。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","memory","内存","Memory","300","row","1","ramSize","内存大小","RAM Size","MB","数值","是","数据库进程当前使用的内存大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","memory","内存","Memory","300","row","1","resident","常驻内存","Resident","MB","数值","是","数据库进程当前使用的内存大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","memory","内存","Memory","300","row","1","supported","额外内存显示","Extra Memory Display","","字符串","是","是否支持显示额外的内存信息。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","memory","内存","Memory","300","row","1","virtual","虚拟内存","Virtual","MB","数值","是","数据库进程当前使用的虚拟内存大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","network","网络","Network","300","row","1","bytesIn","入流量","Read In","B","数值","是","数据库接收网络数据大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","network","网络","Network","300","row","1","bytesInSec","每秒入流量","Read In Per Second","B","数值","是","最近一次采集间隔内数据库每秒接收网络数据大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","network","网络","Network","300","row","1","bytesOut","出流量","Write Out","B","数值","是","数据库发送网络数据大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","network","网络","Network","300","row","1","bytesOutSec","每秒出流量","Write Out Per Second","B","数值","是","最近一次采集间隔内数据库每秒发送网络数据大小。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","network","网络","Network","300","row","1","netUptimeMs","运行时长(毫秒)","Uptime(ms)","","数值","是","运行时长，单位为毫秒。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","network","网络","Network","300","row","1","numRequests","请求次数","Requests","","数值","是","数据库接收到的请求次数总和。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","network","网络","Network","300","row","1","requestsSec","每秒请求次数","Requests Per Second","","数值","是","最近一次采集间隔内数据库每秒接收到的请求次数总和。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","responseTime","响应时间","Response Time","300","row","1","responseTime","响应时间","Response Time","ms","数值","是","APM连接到MongoDB数据库并返回响应的时间。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","server","服务器信息","Server Information","300","row","3","dbVer","数据库版本","Database Version","","字符串","是","数据库的版本。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","server","服务器信息","Server Information","300","row","3","host","主机","Host","","字符串","是","数据库系统所在主机名称。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","server","服务器信息","Server Information","300","row","3","pid","进程ID","Process ID","","字符串","是","数据库服务的进程ID。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","server","服务器信息","Server Information","300","row","3","process","进程名","Process Name","","字符串","是","数据库服务的进程名称。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","server","服务器信息","Server Information","300","row","3","srvTime","服务器时间","Local Time","","字符串","是","数据库系统所在主机的当前时间。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","server","服务器信息","Server Information","300","row","3","storageEngine","存储引擎","Storage Engine","","字符串","是","数据库使用的存储引擎，仅在MongoDB 3.0以后的版本有效。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","server","服务器信息","Server Information","300","row","3","uptime","运行时长(秒)","Uptime(s)","","数值","是","运行时长，单位为秒。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","server","服务器信息","Server Information","300","row","3","uptimeMs","运行时长(毫秒)","Uptime(ms)","","数值","是","运行时长，单位为毫秒。"
"MongoDB","MongoDB","MongoDB","mongo","209760028721301","否","AvailableData","可用性","Availability","60","","3","AvailabilityData","协议连接","Protocol Connection","","字符串","是","测试IP对应资源的协议连接。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BasicDeployInfo","数据库基本信息","Basic Database Information","300","row","3","DbmsName","数据库名称","Name","","字符串","是","数据库名称。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BasicDeployInfo","数据库基本信息","Basic Database Information","300","row","3","DbmsVer","版本","Version","","字符串","是","SQL Server版本。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BasicDeployInfo","数据库基本信息","Basic Database Information","300","row","3","MaxIndexCols","索引中最大列数","Max Column Number","","数值","是","索引中最大列数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BasicDeployInfo","数据库基本信息","Basic Database Information","300","row","3","RenameColumn","是否可以重命名列","Rename Column","","字符串","是","是否可以重命名列。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BasicDeployInfo","数据库基本信息","Basic Database Information","300","row","3","SpRename","重命名存储过程","Rename Storage Process","","字符串","是","重命名存储过程。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BasicDeployInfo","数据库基本信息","Basic Database Information","300","row","3","SysSprocVersion","目录存储版本","Directory Storage Version","","字符串","是","目录存储版本。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BasicDeployInfo","数据库基本信息","Basic Database Information","300","row","3","UseridLength","用户名字符数最大值","Max Username Length","","数值","是","用户名字符数最大值。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferDetail","缓存","Buffer Details","300","row","1","CacheHitRatioValue","缓存命中率","Cache Hit Ratio","%","数值","是","缓存命中和查找次数的比率。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferDetail","缓存","Buffer Details","300","row","1","CacheObjectCounts","缓存对象数","Cache Object Counts","","数值","是","缓存中的缓存对象数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferDetail","缓存","Buffer Details","300","row","1","CacheObjectsinUse_sec","正在使用的缓存对象数","Cache Objects in use","","数值","是","最近一个轮询间隔内所有缓存对象被使用的数量。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferDetail","缓存","Buffer Details","300","row","1","CachePages","缓存对象使用页数","Cache Pages","","数值","是","缓存对象使用的页面数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferMgmtStat","数据库页","Buffer Management","300","row","1","BufferCacheHitRatioValue","缓冲区命中率","Buffer Hit Ratio","%","数值","是","从缓存读取键值的次数和请求数的比率。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferMgmtStat","数据库页","Buffer Management","300","row","1","DatabasePages","数据库页","Database Pages","","数值","是","最近一个轮询间隔内每分钟物理数据库页面读取次数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferMgmtStat","数据库页","Buffer Management","300","row","1","FreePages","空闲页","Free Pages","","数值","是","所有空闲列表中的总页面数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferMgmtStat","数据库页","Buffer Management","300","row","1","PageLookups_sec","每分钟查找页数","Page Lookups/Min","","数值","是","最近一个轮询间隔内每分钟缓冲区数据命中数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferMgmtStat","数据库页","Buffer Management","300","row","1","PageReads_sec","每分钟已读页数","Page Reads/Min","","数值","是","最近一个轮询间隔内每分钟物理数据库页面读取次数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferMgmtStat","数据库页","Buffer Management","300","row","1","PageWrites_sec","每分钟已写页数","Page Writes/Min","","数值","是","最近一个轮询间隔内每分钟物理数据库页面写入次数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","BufferMgmtStat","数据库页","Buffer Management","300","row","1","TotalPages","总页数","Total Pages","","数值","是","缓冲区中缓存的页面总数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","ConnDetail","连接详情","Connection Details","300","table","1","client_net_address","主机地址","Host","","字符串","是","主机IP地址。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","ConnDetail","连接详情","Connection Details","300","table","1","client_tcp_port","主机端口","Port","","字符串","是","主机端口号。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","ConnDetail","连接详情","Connection Details","300","table","1","login_name","登录名","Login Name","","字符串","是","创建连接时所使用的名称。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","ConnDetail","连接详情","Connection Details","300","table","1","login_time","登录时间","Login Time","","字符串","是","登录时间。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","ConnDetail","连接详情","Connection Details","300","table","1","program_name","客户端程序","Program","","字符串","是","客户端创建连接的程序名称。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","ConnDetail","连接详情","Connection Details","300","table","1","session_id","会话ID","Session ID","","字符串","是","当前死锁会话ID。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","ConnDetail","连接详情","Connection Details","300","table","1","status","状态","Status","","字符串","是","主机当前状态。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","ConnectStat","连接统计信息","Connections Statistics","300","row","1","Logins_sec","每秒登录数","Logins/sec","","数值","是","最近一个轮询间隔内每秒的数据库连接登录数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","ConnectStat","连接统计信息","Connections Statistics","300","row","1","Logouts_sec","每秒注销数","Logouts/sec","","数值","是","最近一个轮询间隔内每秒的数据库连接注销数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","ConnectStat","连接统计信息","Connections Statistics","300","row","1","UserConnections","活动连接数","Active Connections","","数值","是","连接到系统的连接数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","ActiveTransactions","活动事务","Active Transactions","","数值","是","最近一个轮询间隔内的活动事务数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","DatabaseNames","数据库","Database","","字符串","是","数据库名称。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","DataFileSize","数据文件大小","Data File Size","KB","数值","是","数据文件的大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","dbFileNum","数据文件数量","Data File Number","","数值","是","数据文件的数量。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","dbFreeSize","数据库空闲大小","Free Size","MB","数值","是","数据库未被使用大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","dbPath","数据文件路径","Data File Path","","字符串","是","数据文件所在的路径。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","dbSize","数据库大小","Size","MB","数值","是","数据库的大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","dbUsedRatio","数据库利用率","Database Usage Ratio","%","数值","是","数据库使用量和总大小的比率。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","dbUsedSize","数据库使用大小","Used Size","MB","数值","是","数据库已经被使用大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","LogFileInUseRatio","日志文件使用率","Log File Usage Ratio","%","数值","是","日志文件使用量和日志文件的比率。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","LogFileSize","日志文件","Log File","KB","数值","是","日志文件的大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","LogFileUsedSize","日志文件使用量","Log Files Used","KB","数值","是","最近一个轮询间隔内日志刷新等待数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","LogFlushes_sec","日志写入数","Log Writes","","数值","是","最近一个轮询间隔内日志写入日志文件的次数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","LogFlushWaits_sec","日志写入等待","Log Write Waits","","数值","是","最近一个轮询间隔内日志写入日志文件时等待的次数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","LogFlushWaitTime","日志写入等待时间","Log Write Wait Time","ms","数值","是","最近一个轮询间隔内日志写入日志文件时等待的平均时间。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","Transactions_sec","事务","Transactions","","数值","是","每分钟处理的事务数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","LogSumUseRatio","日志文件使用率（最大可扩展）","Log File Usage (Max Expandable)","%","数值","是","日志文件使用大小与日志文件最大可扩展的大小的比值。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","LogSumSize","日志文件最大可扩展大小","Expandable Up To","KB","数值","是","日志文件最大可扩展大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","dataUseRatio","数据文件使用率","Data File Usage","%","数值","是","数据文件使用大小与当前分配给数据文件大小的比值。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","dataSumUseRatio","数据文件使用率（最大可扩展）","Data File Usage (Max Expandable)","%","数值","是","数据文件使用大小与数据文件最大可扩展大小的比值。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","dataUsedSize","数据文件使用大小","Used Size","KB","数值","是","数据文件使用大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DatabaseDetail","数据库明细","Database Details","300","table","3","dataSumSize","数据文件最大可扩展大小","Expandable Up To","KB","数值","是","数据文件最大可扩展大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","dbname","数据库","Database","","字符串","是","数据库的名称。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","DiskBytes","大小","Size","B","数值","是","数据库文件的大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","fileName","文件名","File Name","","字符串","是","数据库的文件的名称。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","growthnum","增长大小","Growth Size","","数值","是","文件增长大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","growtype","增长方式","Growth Mode","","字符串","是","1表示按百分比，2表示按固定长度。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","max_size","文件最大大小","File Max Size","","字符串","是","文件允许大小的上限值。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","mbRead","读取速率","Read","bps","数值","是","数据库文件的最近读取活动（MB/秒）。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","mbWritten","写入速率","Written","bps","数值","是","数据库文件的最近写入活动（MB/秒）。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","responseTime","响应时间","Response Time","ms","数值","是","针对数据库文件的最近读写活动的平均响应时间。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","state_desc","文件状态","State","","字符串","是","数据库文件的状态独立于数据库的状态。 文件始终处于一个特定状态，例如 ONLINE 或 OFFLINE。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DataFileIoPane","数据文件I/O","Data File I/O","300","table","1","usedpercent","已使用","Used","%","数值","是","文件已使用的大小。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DbStatusDetails","数据库状态","Database Status","300","table","3","CreateDate","数据库创建日期","Database Create Date","","字符串","是","数据库创建的日期。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DbStatusDetails","数据库状态","Database Status","300","table","3","DbName","数据库","Database","","字符串","是","数据库名称。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","DbStatusDetails","数据库状态","Database Status","300","table","3","DbStatus","数据库状态","Database Status","","字符串","是","数据库的状态。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LatchStat","锁定等待","Lock Wait","300","row","1","AverageLatchWaitTime","平均闭锁等待时间","Average Latch Wait Time","ms","数值","是","必须等待的闭锁请求的平均等待时间，如果该指标的值很高，则系统可能正经历严重的资源竞争问题。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LatchStat","锁定等待","Lock Wait","300","row","1","LatchWaits_sec","每分钟闭锁等待数","Latch Waits/Min","","数值","是","最近一个轮询间隔内不能立即分配和在分配前必须等待的闭锁请求数，该值越小越好，值过大表明服务器可能存在对资源的竞争问题。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","lockdetail","死锁详情","Deadlock Details","300","table","1","open_tran","进程打开事务数","Number of Transactions","","数值","是","进程打开事务数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","lockdetail","死锁详情","Deadlock Details","300","table","1","pcmd","命令","Command","","字符串","是","命令。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","lockdetail","死锁详情","Deadlock Details","300","table","1","pstatus","进程状态","Process State","","字符串","是","当前进程的状态。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","lockdetail","死锁详情","Deadlock Details","300","table","1","qtext","SQL","SQL","","字符串","是","SQL。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","lockdetail","死锁详情","Deadlock Details","300","table","1","request_session_id","会话ID","Session ID","","字符串","是","当前死锁会话ID。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","lockdetail","死锁详情","Deadlock Details","300","table","1","sql_handle","当前对象","Current object","","字符串","是","当前对象。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","lockdetail","死锁详情","Deadlock Details","300","table","1","tablename","表","Table","","字符串","是","死锁相关联的表。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","lockdetail","死锁详情","Deadlock Details","300","table","1","waittime","等待时间","Wait Time","ms","数值","是","死锁等待时间。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LocksDetail","锁统计信息","Lock Statistics","300","row","1","LockRequests_sec","每秒锁请求数","Lock Requests/sec","","数值","是","最近一个轮询间隔内不能立即分配和在分配前必须等待的闭锁请求数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LocksDetail","锁统计信息","Lock Statistics","300","row","1","LockTimeouts_sec","每秒超时的锁请求数","Lock Timeouts/sec","","数值","是","最近一个轮询间隔内超时的锁请求数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LocksDetail","锁统计信息","Lock Statistics","300","row","1","LockWaits_sec","每秒等待的锁请求数","Lock Waits/sec","","数值","是","最近一个轮询间隔内锁的等待总时间。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LocksDetail","锁统计信息","Lock Statistics","300","row","1","LockWaitTime_sec","平均锁定等待时间","Average Wait Time","ms","数值","是","被迫等待的锁请求的平均等待时间。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LocksDetail","锁统计信息","Lock Statistics","300","row","1","NumberOfDeadLocks_sec","每秒死锁的锁请求数","Number of Deadlocks/sec","","数值","是","最近一个轮询间隔内死锁的锁请求数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LocksInfo","锁","Lock Details","300","row","1","blocked","死锁数","Deadlocks","","数值","是","死锁的数量。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LocksInfo","锁","Lock Details","300","row","1","locksTotal","锁总数","Locks","","数值","是","系统中锁的总数。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LocksInfo","锁","Lock Details","300","row","1","LockTables","锁表数","Table Locks","","数值","是","锁表的数目。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","LocksInfo","锁","Lock Details","300","row","1","timeOut","锁超时时间","Lock TimeOut","","数值","是","锁超时的时间，如果为-1表示没有超时期限。"
"SQL Server","SQL Server","SQL Server","mssql","209760028721303","否","MemoryUseRatio","内存","Memory","300","row","3","ConnectionMemory","连接内存","Connection Memory","KB","数值","是","维护连接的内存总数。"
